pool_size,time,cumulative_time
210,17.269056089,3893.845950393
211,17.963161057,3911.80911145
212,15.619501332,3927.4286127819996
213,14.465567981,3941.8941807629994
214,17.173438678,3959.0676194409994
215,13.337335861,3972.4049553019995
216,19.338520223,3991.7434755249997
217,18.161111259,4009.9045867839995
218,16.532506028,4026.4370928119997
219,18.188410729,4044.625503541
220,17.474995064,4062.1004986049998
221,17.381894309,4079.482392914
222,17.508926517,4096.991319431
223,16.216211723,4113.207531154
224,14.397921241,4127.605452395001
225,15.945997183,4143.551449578001
226,15.577465902,4159.12891548
227,16.770983651,4175.899899131
228,19.065922845,4194.965821976
229,19.656789309,4214.622611285
230,15.092117054,4229.7147283389995
231,15.321008169,4245.035736508
232,17.864766576,4262.900503084
233,14.767902173,4277.668405257
234,15.593265707,4293.261670964
235,18.190218539,4311.451889503
236,16.555143466,4328.007032969
237,17.087855893,4345.094888862
238,17.829986243,4362.924875105
239,18.641689722,4381.566564827
240,17.823176122,4399.389740949
241,17.032782724,4416.422523673
242,16.983049385,4433.405573058
243,17.186157269,4450.591730327001
244,16.516920902,4467.108651229
245,17.176433778,4484.285085007
246,18.246159903,4502.53124491
247,16.816948551,4519.348193461
248,14.829213644,4534.177407105
249,14.859345416,4549.036752521
250,15.618167074,4564.654919595
251,17.685899797,4582.340819392
252,14.852427458,4597.193246850001
253,13.977702454,4611.170949304001
254,13.617979455,4624.788928759001
255,17.764102343,4642.553031102
256,17.747501843,4660.300532945
257,13.328587453,4673.629120398
258,16.292535605,4689.921656003
259,17.398649887,4707.32030589
260,17.335886523,4724.656192413
261,14.496030636,4739.152223049
262,16.47329133,4755.625514379
263,17.434971244,4773.060485623
264,17.410052817,4790.47053844
265,14.589598379,4805.060136819
266,12.668866447,4817.729003266
267,17.012019127,4834.741022393
268,14.483266702,4849.224289095
269,16.545458389,4865.769747484
270,17.97808627,4883.747833754
271,17.621500055,4901.369333809
272,16.775844967,4918.145178776
273,18.118609871,4936.263788647
274,13.796233624,4950.060022271
275,16.343843506,4966.403865777
276,13.348955554,4979.752821331
277,14.111794892,4993.864616223
278,15.029311123,5008.893927346
279,17.975877247,5026.8698045930005
280,19.784712861,5046.654517454001
281,16.838443129,5063.492960583
282,13.476691947,5076.9696525300005
283,17.658338359,5094.627990889
284,17.113138004,5111.741128893
